example_id,action,reply_nonempty_when_auto_handle,no_obvious_url_or_email_leak,no_obvious_account_identifier_leak,basic_grounding_signal_present,fallback_used,no_customer_reply_when_escalated
spotify-1007217,AUTO_HANDLE,True,True,True,True,False,True
spotify-1240024,AUTO_HANDLE,True,True,True,True,False,True
spotify-1601184,AUTO_HANDLE,True,True,True,False,True,True
spotify-1773092,AUTO_HANDLE,True,True,True,True,False,True
spotify-1784734,AUTO_HANDLE,True,True,True,False,True,True
spotify-1798939,AUTO_HANDLE,True,True,True,True,False,True
spotify-1906057,AUTO_HANDLE,True,True,True,False,True,True
spotify-1954789,AUTO_HANDLE,True,True,True,True,False,True
spotify-1964335,ESCALATE,True,True,True,False,False,True
spotify-1973475,AUTO_HANDLE,True,True,True,True,False,True
spotify-2431656,AUTO_HANDLE,True,True,True,False,True,True
spotify-2582042,ESCALATE,True,True,True,False,False,True
spotify-2623497,AUTO_HANDLE,True,True,True,True,False,True
spotify-2774667,ESCALATE,True,True,True,False,True,True
spotify-33423,AUTO_HANDLE,True,True,True,False,True,True
spotify-396203,ESCALATE,True,True,True,False,True,True
spotify-500973,AUTO_HANDLE,True,True,True,False,True,True
spotify-510537,AUTO_HANDLE,True,True,True,True,False,True
spotify-853260,AUTO_HANDLE,True,True,True,False,True,True
spotify-946747,AUTO_HANDLE,True,True,True,False,True,True
