example_id,before_intent,after_intent,before_confidence,after_confidence,before_flagged,after_flagged,after_reason,moved_from_other_unclear
spotify-2596660,CONTENT_AVAILABILITY_METADATA,CONTENT_AVAILABILITY_METADATA,High,High,False,False,Customer evidence matched content availability metadata cues. Historical Spotify reply provides corroborating context.,False
spotify-1938054,PLAYBACK_AUDIO,PLAYBACK_AUDIO,Medium,High,True,False,Customer evidence matched playback audio cues.,False
spotify-2369706,BILLING_PAYMENT_REFUND,BILLING_PAYMENT_REFUND,High,High,False,False,Customer evidence matched billing payment refund cues.,False
spotify-1506694,DOWNLOADS_OFFLINE_STORAGE,DOWNLOADS_OFFLINE_STORAGE,High,High,False,False,Customer evidence matched downloads offline storage cues. Historical Spotify reply provides corroborating context.,False
spotify-2580723,PLAYLIST_LIBRARY_DISCOVERY,PLAYLIST_LIBRARY_DISCOVERY,High,High,False,False,Customer evidence matched playlist library discovery cues. Historical Spotify reply provides corroborating context.,False
spotify-864516,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-2850062,DOWNLOADS_OFFLINE_STORAGE,DOWNLOADS_OFFLINE_STORAGE,High,High,False,False,Customer evidence matched downloads offline storage cues. Historical Spotify reply provides corroborating context.,False
spotify-2950126,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-1069144,OTHER_UNCLEAR,PLAYBACK_AUDIO,Low,Medium,True,True,Customer evidence matched playback audio cues. Human review is required because the evidence is not sufficiently decisive.,True
spotify-1520000,OTHER_UNCLEAR,PLAYBACK_AUDIO,Low,Medium,True,True,Customer evidence matched playback audio cues. Human review is required because the evidence is not sufficiently decisive.,True
spotify-1956771,DOWNLOADS_OFFLINE_STORAGE,DOWNLOADS_OFFLINE_STORAGE,Medium,Medium,True,True,Customer evidence matched downloads offline storage cues. A second taxonomy intent is also plausible. Customer message and historical reply point to different issues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-1145854,OTHER_UNCLEAR,CONTENT_AVAILABILITY_METADATA,Low,Medium,True,True,Customer evidence matched content availability metadata cues. Human review is required because the evidence is not sufficiently decisive.,True
spotify-700419,OTHER_UNCLEAR,FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,High,True,False,Customer evidence matched feature request product feedback cues. Historical Spotify reply provides corroborating context.,True
spotify-2551340,OTHER_UNCLEAR,CONTENT_AVAILABILITY_METADATA,Low,High,True,False,Customer evidence matched content availability metadata cues.,True
spotify-1740085,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,High,High,False,False,Customer evidence matched app technical compatibility cues.,False
spotify-1784734,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,High,High,False,False,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False
spotify-2108113,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,High,High,False,False,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False
spotify-173649,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,High,High,False,False,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False
spotify-980829,SUBSCRIPTION_PLAN,SUBSCRIPTION_PLAN,Medium,Medium,True,True,Customer evidence matched subscription plan cues. Historical Spotify reply provides corroborating context. Human review is required because the evidence is not sufficiently decisive.,False
spotify-80934,OTHER_UNCLEAR,APP_TECHNICAL_COMPATIBILITY,Low,Low,True,True,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True
