example_id,customer_message,spotify_reply,suggested_intent,confidence,confidence_reason,requires_human_review,confidence_score,suggestion_source,final_intent,review_status,review_notes,reviewed,label_source,label_action
spotify-2596660,When I opened the link it said the song was not available ??,Sorry about that. It seems that the track isn't available in the US. Licensing agreements can affect music availability. We have more info here: Hope this clears things up /NS,CONTENT_AVAILABILITY_METADATA,High,Customer evidence matched content availability metadata cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,CONTENT_AVAILABILITY_METADATA,REVIEWED,,True,human,human_override
spotify-1938054,"Lol fuck you, i was streaming spotify then suddenly the playback paused, cause someone is using my account. How fucking dare you use my acct",Hey there! Sorry to hear that. Can you DM us your account's username or email address? We'll check backstage /AP,PLAYBACK_AUDIO,High,Customer evidence matched playback audio cues.,False,High,deterministic_heuristic_customer_and_reply,ACCOUNT_ACCESS_SECURITY,REVIEWED,,True,human,human_override
spotify-2369706,Hey I have signed up for the student discount but have been charged the full price for the past 3 months now,"Hey there, help's here! Could you DM us your account's username and email address? We'll take a look backstage /DQ",BILLING_PAYMENT_REFUND,High,Customer evidence matched billing payment refund cues.,False,High,deterministic_heuristic_customer_and_reply,BILLING_PAYMENT_REFUND,REVIEWED,,True,human,human_override
spotify-1506694,I have lost all offline tracks (AGAIN) but have 6GB of spotify files stuck on SD Card that won't delete after uninstall. Help,"Hey, sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at They should help out /NY",DOWNLOADS_OFFLINE_STORAGE,High,Customer evidence matched downloads offline storage cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,DOWNLOADS_OFFLINE_STORAGE,REVIEWED,,True,human,human_override
spotify-2580723,How about adding delete all from queue option? Just a thought,"Hey, this sounds like a great idea! Suggest it in our Community at and get support from other users /RB",PLAYLIST_LIBRARY_DISCOVERY,High,Customer evidence matched playlist library discovery cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,FEATURE_REQUEST_PRODUCT_FEEDBACK,REVIEWED,,True,human,human_override
spotify-864516,I found it. Thanks though,"Awesome. If anything else comes up, just give us a shout. Happy listening 🎶 /LP",OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply,CONTENT_AVAILABILITY_METADATA,REVIEWED,,True,human,human_override
spotify-2850062,Not true. I downloaded Spotify and theres no free songs to download. Just to let u know,"Hey there! Allow us to clear things up. With Spotify Free, you'll be able to access and stream all the songs in our catalog, but you'll be unable to download them for offline listening. There's more info about our subscription options here: /DB",DOWNLOADS_OFFLINE_STORAGE,High,Customer evidence matched downloads offline storage cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,DOWNLOADS_OFFLINE_STORAGE,REVIEWED,,True,human,human_override
spotify-2950126,Im am. It said presale starts tomm,"If you've been selected, you'll receive an email that will allow you to participate in the pre-sale while it's running. We suggest checking your inbox (including spam/junk folders) regularly. We'll keep our fingers crossed for you 🙂 /NH",OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply,PLAYBACK_AUDIO,REVIEWED,,True,human,human_override
spotify-1069144,Would be really nice if didn't intransparently prioritize ancient 64kbps mono MP3 rips over even standard quality streams. 🤔,Hey there! Can you let us know what's happening exactly? We'll see how we can help /JP,PLAYBACK_AUDIO,Medium,Customer evidence matched playback audio cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,BILLING_PAYMENT_REFUND,REVIEWED,,True,human,human_override
spotify-1520000,Well it stopped after I tweeted you...🤔🤔🤔,No worries! Just give us a shout if the problem persists. We're... 🙂 /AU,PLAYBACK_AUDIO,Medium,Customer evidence matched playback audio cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,PLAYLIST_LIBRARY_DISCOVERY,REVIEWED,,True,human,human_override
spotify-1956771,how do you get rid of songs on spotify that take up your storage,"Hey there! Can you let us know your device, operating system, and version of Spotify you're using? We'll see what we can suggest /AG",DOWNLOADS_OFFLINE_STORAGE,Medium,Customer evidence matched downloads offline storage cues. A second taxonomy intent is also plausible. Customer message and historical reply point to different issues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,OTHER_UNCLEAR,REVIEWED,,True,human,human_override
