example_id,true_intent,customer_message,predicted_intent,confidence,action,escalation_reason,top_similarity_score,grounding_score,generation_method,fallback_used,generated_reply_present,internal_draft_present,retrieval_evidence_count,reply_nonempty_when_auto_handle,no_obvious_url_or_email_leak,no_obvious_account_identifier_leak,basic_grounding_signal_present,no_customer_reply_when_escalated
spotify-1007217,APP_TECHNICAL_COMPATIBILITY,"Help. Only some of my ""Songs"" are available offline on my Mac whereas all of them are available offline on my phone.",DOWNLOADS_OFFLINE_STORAGE,Medium,AUTO_HANDLE,"specific intent, sufficient confidence, and grounded retrieval evidence are available.",0.2755781558082373,0.18677452621905943,deterministic_retrieval_grounded_action_extraction,False,True,False,3,True,True,True,True,True
spotify-1240024,APP_TECHNICAL_COMPATIBILITY,I'm from Canada and it's still not working ://////,APP_TECHNICAL_COMPATIBILITY,Medium,AUTO_HANDLE,"specific intent, sufficient confidence, and grounded retrieval evidence are available.",0.5998713434095463,0.5998713434095463,deterministic_retrieval_grounded_action_extraction,False,True,False,3,True,True,True,True,True
spotify-1601184,APP_TECHNICAL_COMPATIBILITY,Would really rather you just put in a bug report w/ devs. I love Spotify but this volume issue honestly kills it,APP_TECHNICAL_COMPATIBILITY,Medium,AUTO_HANDLE,specific non-sensitive intent and usable retrieval support a safe information-gathering fallback.,0.16283464697369424,,deterministic_retrieval_grounded_fallback,True,True,False,3,True,True,True,False,True
spotify-1773092,APP_TECHNICAL_COMPATIBILITY,a little frustrated with your app right now. Help me please!? 🙄,APP_TECHNICAL_COMPATIBILITY,Low,AUTO_HANDLE,"specific intent, sufficient confidence, and grounded retrieval evidence are available.",0.4063060613935964,0.3255960150110847,deterministic_retrieval_grounded_action_extraction,False,True,False,3,True,True,True,True,True
spotify-1784734,APP_TECHNICAL_COMPATIBILITY,Please contact me about problems with app for Android. Thx,APP_TECHNICAL_COMPATIBILITY,Medium,AUTO_HANDLE,specific non-sensitive intent and usable retrieval support a safe information-gathering fallback.,0.5170481634278045,,deterministic_retrieval_grounded_fallback,True,True,False,3,True,True,True,False,True
spotify-1798939,COMMUNITY_INTEGRATIONS,Also could anyone verify that the spotify<->shazam app keys are not compromised?,COMMUNITY_INTEGRATIONS,Medium,AUTO_HANDLE,"specific intent, sufficient confidence, and grounded retrieval evidence are available.",0.22294677031492538,0.22294677031492538,deterministic_retrieval_grounded_action_extraction,False,True,False,3,True,True,True,True,True
spotify-1906057,PLAYBACK_AUDIO,"Haha, there are thousands of them. Thanks for your attention, but I thought streaming and Clouds should work in other way 😐",PLAYBACK_AUDIO,Medium,AUTO_HANDLE,specific non-sensitive intent and usable retrieval support a safe information-gathering fallback.,0.20892349599500643,,deterministic_retrieval_grounded_fallback,True,True,False,3,True,True,True,False,True
spotify-1954789,PLAYLIST_LIBRARY_DISCOVERY,ok pls can u care to not put playlist radio on when im just wanting to listen to my playlist rather than songs i MIGHT want,PLAYLIST_LIBRARY_DISCOVERY,Medium,AUTO_HANDLE,"specific intent, sufficient confidence, and grounded retrieval evidence are available.",0.2146734240288371,0.2146734240288371,deterministic_retrieval_grounded_action_extraction,False,True,False,3,True,True,True,True,True
spotify-1964335,ACCOUNT_ACCESS_SECURITY,thinks it's funny to try and kick me out of my account and not allow me to play music. literally about to throw hands. not cool.,ACCOUNT_ACCESS_SECURITY,Medium,ESCALATE,account/security issues require human handling.,0.25825221619629396,0.25825221619629396,deterministic_retrieval_grounded_action_extraction,False,False,True,3,True,True,True,False,True
spotify-1973475,SUBSCRIPTION_PLAN,how do I make my account a student one?,SUBSCRIPTION_PLAN,Medium,AUTO_HANDLE,"specific intent, sufficient confidence, and grounded retrieval evidence are available.",0.4302311200404167,0.375544922187745,deterministic_retrieval_grounded_action_extraction,False,True,False,3,True,True,True,True,True
spotify-2431656,COMMUNITY_INTEGRATIONS,how can I change my Spotify account settings if it’s a Facebook account but I deleted my Facebook page months ago? Help!!,COMMUNITY_INTEGRATIONS,Medium,AUTO_HANDLE,specific non-sensitive intent and usable retrieval support a safe information-gathering fallback.,0.3318351646932665,,deterministic_retrieval_grounded_fallback,True,True,False,3,True,True,True,False,True
