,APP_TECHNICAL_COMPATIBILITY,SUBSCRIPTION_PLAN,BILLING_PAYMENT_REFUND,PLAYLIST_LIBRARY_DISCOVERY,DOWNLOADS_OFFLINE_STORAGE,ACCOUNT_ACCESS_SECURITY,PLAYBACK_AUDIO,COMMUNITY_INTEGRATIONS,CONTENT_AVAILABILITY_METADATA,FEATURE_REQUEST_PRODUCT_FEEDBACK,OTHER_UNCLEAR
APP_TECHNICAL_COMPATIBILITY,39,0,0,0,0,0,0,0,0,0,0
SUBSCRIPTION_PLAN,0,21,0,0,0,0,0,0,1,0,0
BILLING_PAYMENT_REFUND,0,1,14,0,0,0,1,0,0,0,0
PLAYLIST_LIBRARY_DISCOVERY,0,1,0,15,0,0,1,0,0,0,0
DOWNLOADS_OFFLINE_STORAGE,0,0,0,0,11,0,0,0,1,0,1
ACCOUNT_ACCESS_SECURITY,1,0,0,0,0,9,1,0,0,0,0
PLAYBACK_AUDIO,1,0,0,0,0,0,9,0,0,0,1
COMMUNITY_INTEGRATIONS,0,0,0,0,0,0,1,7,0,0,0
CONTENT_AVAILABILITY_METADATA,0,1,0,0,0,0,1,0,15,0,1
FEATURE_REQUEST_PRODUCT_FEEDBACK,0,0,0,1,0,0,0,0,0,15,0
OTHER_UNCLEAR,0,1,0,0,1,0,0,0,0,0,27
