evaluation_id,customer_message,predicted_intent,generated_reply,retrieval_evidence_summary,helpfulness_score,correctness_score,relevance_score,tone_score,safety_score,overall_score,evaluator_id,evaluator_notes,reviewed
human-reply-spotify-1007217,"Help. Only some of my ""Songs"" are available offline on my Mac whereas all of them are available offline on my phone.",DOWNLOADS_OFFLINE_STORAGE,"Thanks for reaching out. Based on similar Spotify support cases, the suggested next step is to share the Spotify app version, and share the operating-system version. If the issue continues, let us know what happens and we can look into it further.","[{""source_conversation_id"": 1540290.0, ""similarity_score"": 0.2755781558082373, ""sanitized_historical_reply"": ""Got it. We'll take a look under the hood"", ""used_for_generation"": false}, {""source_conversation_id"": 584166.0, ""similarity_score"": 0.18677452621905943, ""sanitized_historical_reply"": ""Just to check, are those songs grayed-out? Sending us your device, operating system, and Spotify app version would be handy too"", ""used_for_generation"": true}, {""source_conversation_id"": 1206257.0, ""similarity_score"": 0.18298774261251574, ""sanitized_historical_reply"": ""Thanks for the heads-up! We've reported this to our Content team. Great detective work 🙂"", ""used_for_generation"": false}]",3,4,4,5,5,4,ayan,example1,True
human-reply-spotify-1240024,I'm from Canada and it's still not working ://////,APP_TECHNICAL_COMPATIBILITY,"Thanks for reaching out. Based on similar Spotify support cases, the suggested next step is to share the Spotify app version, and share the operating-system version. If the issue continues, let us know what happens and we can look into it further.","[{""source_conversation_id"": 863675.0, ""similarity_score"": 0.5998713434095463, ""sanitized_historical_reply"": ""Can you let us know the Android and Spotify versions you're running? We'll check it out"", ""used_for_generation"": true}, {""source_conversation_id"": 609529.0, ""similarity_score"": 0.5201917468091456, ""sanitized_historical_reply"": ""That's odd. We'll take a look backstage 🔍"", ""used_for_generation"": false}, {""source_conversation_id"": 1115802.0, ""similarity_score"": 0.5201917468091456, ""sanitized_historical_reply"": ""Hmm. We'll take a look backstage"", ""used_for_generation"": false}]",3,4,4,5,5,4,ayan,example2,True
human-reply-spotify-1601184,Would really rather you just put in a bug report w/ devs. I love Spotify but this volume issue honestly kills it,APP_TECHNICAL_COMPATIBILITY,Thanks for reaching out. We need a little more information to safely suggest the right next step. Please share what device you’re using and any exact error message you see.,"[{""source_conversation_id"": 1085191.0, ""similarity_score"": 0.16283464697369424, ""sanitized_historical_reply"": ""Hey there! Can you send over the Spotify link/URI of the Album or track along with the correct Artist? We'll take a look"", ""used_for_generation"": false}, {""source_conversation_id"": 1483991.0, ""similarity_score"": 0.1564210785129383, ""sanitized_historical_reply"": ""Hey! If you haven't had Premium before, you can get our 30-day free trial at"", ""used_for_generation"": false}, {""source_conversation_id"": 700656.0, ""similarity_score"": 0.15477299104443815, ""sanitized_historical_reply"": ""Hey! We've just sent a DM your way. Let's carry on chatting there"", ""used_for_generation"": false}]",3,4,4,5,5,4,ayan,example 3,True
human-reply-spotify-1773092,a little frustrated with your app right now. Help me please!? 🙄,APP_TECHNICAL_COMPATIBILITY,"Thanks for reaching out. Based on similar Spotify support cases, the suggested next step is to describe exactly what happens when the issue occurs. If the issue continues, let us know what happens and we can look into it further.","[{""source_conversation_id"": 917351.0, ""similarity_score"": 0.4063060613935964, ""sanitized_historical_reply"": ""sorry for the wait. We've just dropped you a DM. Let's carry on there"", ""used_for_generation"": false}, {""source_conversation_id"": 925090.0, ""similarity_score"": 0.3255960150110847, ""sanitized_historical_reply"": ""Hey there! What's happening exactly? We'd love to help"", ""used_for_generation"": true}, {""source_conversation_id"": 1391690.0, ""similarity_score"": 0.3255960150110847, ""sanitized_historical_reply"": ""Hi! We've just sent you a DM. We'll wait for your reply"", ""used_for_generation"": false}]",3,4,4,5,5,4,ayan,example 4,True
human-reply-spotify-1784734,Please contact me about problems with app for Android. Thx,APP_TECHNICAL_COMPATIBILITY,Thanks for reaching out. We need a little more information to safely suggest the right next step. Please share what device you’re using and any exact error message you see.,"[{""source_conversation_id"": 29616.0, ""similarity_score"": 0.5170481634278045, ""sanitized_historical_reply"": ""Hey there! We've just sent a DM your way. Let's carry on chatting there"", ""used_for_generation"": false}, {""source_conversation_id"": 2789409.0, ""similarity_score"": 0.31704629099677495, ""sanitized_historical_reply"": ""Hi there! We've just sent you a bit more info over DM. We'll carry on helping out there"", ""used_for_generation"": false}, {""source_conversation_id"": 2363337.0, ""similarity_score"": 0.30306858756989863, ""sanitized_historical_reply"": ""Hey there! We've just sent a DM your way"", ""used_for_generation"": false}]",3,4,4,5,5,4,ayan,example 5,True
human-reply-spotify-1798939,Also could anyone verify that the spotify<->shazam app keys are not compromised?,COMMUNITY_INTEGRATIONS,"Thanks for reaching out. Based on similar Spotify support cases, the suggested next step is to share the Spotify app version, and share the operating-system version. If the issue continues, let us know what happens and we can look into it further.","[{""source_conversation_id"": 1339991.0, ""similarity_score"": 0.22294677031492538, ""sanitized_historical_reply"": ""Hey, that doesn't sound right! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest"", ""used_for_generation"": true}, {""source_conversation_id"": 2026607.0, ""similarity_score"": 0.1496407645752195, ""sanitized_historical_reply"": ""Hey there! This sounds like something for our Artist Services friends. You can reach out to them here"", ""used_for_generation"": false}, {""source_conversation_id"": 2019034.0, ""similarity_score"": 0.14264826783940915, ""sanitized_historical_reply"": ""We're here to help. We'll take a look backstage"", ""used_for_generation"": false}]",3,4,4,5,5,4,ayan,ex 6,True
human-reply-spotify-1906057,"Haha, there are thousands of them. Thanks for your attention, but I thought streaming and Clouds should work in other way 😐",PLAYBACK_AUDIO,Thanks for reaching out. We need a little more information to safely suggest the right next step. Please share what device you’re using and any exact error message you see.,"[{""source_conversation_id"": 906651.0, ""similarity_score"": 0.20892349599500643, ""sanitized_historical_reply"": ""Great! Glad to hear it's working. Just let us know if we can help with anything else."", ""used_for_generation"": false}, {""source_conversation_id"": 2317635.0, ""similarity_score"": 0.20892349599500643, ""sanitized_historical_reply"": ""You're welcome!. Just let us know if we can help with anything else."", ""used_for_generation"": false}, {""source_conversation_id"": 1540290.0, ""similarity_score"": 0.1982862557917633, ""sanitized_historical_reply"": ""Got it. We'll take a look under the hood"", ""used_for_generation"": false}]",3,4,4,5,5,4,ayan,ex 7,True
human-reply-spotify-1954789,ok pls can u care to not put playlist radio on when im just wanting to listen to my playlist rather than songs i MIGHT want,PLAYLIST_LIBRARY_DISCOVERY,"Thanks for reaching out. Based on similar Spotify support cases, the suggested next step is to share the Spotify app version; share the operating-system version, and share the device details. If the issue continues, let us know what happens and we can look into it further.","[{""source_conversation_id"": 2468380.0, ""similarity_score"": 0.2146734240288371, ""sanitized_historical_reply"": ""What device, operating system, and Spotify version are you using? We'll see what we can suggest"", ""used_for_generation"": true}, {""source_conversation_id"": 1752888.0, ""similarity_score"": 0.17852116030981305, ""sanitized_historical_reply"": ""help's here! What issues are you having and on what device? We'll see what we can suggest"", ""used_for_generation"": false}, {""source_conversation_id"": 688088.0, ""similarity_score"": 0.15408569643466616, ""sanitized_historical_reply"": ""Suggested Tracks is part of our Free service on mobile. More info here: Hope this info helps"", ""used_for_generation"": false}]",3,4,4,5,5,4,ayan,ex 8,True
human-reply-spotify-1973475,how do I make my account a student one?,SUBSCRIPTION_PLAN,"Thanks for reaching out. Based on similar Spotify support cases, the suggested next step is to describe exactly what happens when the issue occurs. If the issue continues, let us know what happens and we can look into it further.","[{""source_conversation_id"": 2382593.0, ""similarity_score"": 0.4302311200404167, ""sanitized_historical_reply"": ""You can apply for the student discount anytime here: Let us know how you get on"", ""used_for_generation"": false}, {""source_conversation_id"": 370212.0, ""similarity_score"": 0.3974649959836368, ""sanitized_historical_reply"": ""help's here! Just stream the Stranger Things playlist, then go to the Now Playing view and toggle the progress bar to see it"", ""used_for_generation"": false}, {""source_conversation_id"": 2052535.0, ""similarity_score"": 0.375544922187745, ""sanitized_historical_reply"": ""Hey Juan? Can you give us more info about what's happening? We'll see what we can suggest"", ""used_for_generation"": true}]",3,4,4,5,5,4,ayan,ex 9,True
human-reply-spotify-2431656,how can I change my Spotify account settings if it’s a Facebook account but I deleted my Facebook page months ago? Help!!,COMMUNITY_INTEGRATIONS,Thanks for reaching out. We need a little more information to safely suggest the right next step. Please share what device you’re using and any exact error message you see.,"[{""source_conversation_id"": 1780545.0, ""similarity_score"": 0.3318351646932665, ""sanitized_historical_reply"": ""help's here! We'll take a look backstage"", ""used_for_generation"": false}, {""source_conversation_id"": 2707737.0, ""similarity_score"": 0.32834622992415147, ""sanitized_historical_reply"": ""help's here! We'll take a look backstage"", ""used_for_generation"": false}, {""source_conversation_id"": 617481.0, ""similarity_score"": 0.31097055221033304, ""sanitized_historical_reply"": ""We'll take a look backstage"", ""used_for_generation"": false}]",3,4,4,5,5,4,ayan,ex10,True
