example_id,customer_message,spotify_reply,suggested_intent,confidence,confidence_reason,requires_human_review,confidence_score,suggestion_source
spotify-864516,I found it. Thanks though,"Awesome. If anything else comes up, just give us a shout. Happy listening 🎶 /LP",OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-2950126,Im am. It said presale starts tomm,"If you've been selected, you'll receive an email that will allow you to participate in the pre-sale while it's running. We suggest checking your inbox (including spam/junk folders) regularly. We'll keep our fingers crossed for you 🙂 /NH",OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-1069144,Would be really nice if didn't intransparently prioritize ancient 64kbps mono MP3 rips over even standard quality streams. 🤔,Hey there! Can you let us know what's happening exactly? We'll see how we can help /JP,PLAYBACK_AUDIO,Medium,Customer evidence matched playback audio cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1520000,Well it stopped after I tweeted you...🤔🤔🤔,No worries! Just give us a shout if the problem persists. We're... 🙂 /AU,PLAYBACK_AUDIO,Medium,Customer evidence matched playback audio cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1956771,how do you get rid of songs on spotify that take up your storage,"Hey there! Can you let us know your device, operating system, and version of Spotify you're using? We'll see what we can suggest /AG",DOWNLOADS_OFFLINE_STORAGE,Medium,Customer evidence matched downloads offline storage cues. A second taxonomy intent is also plausible. Customer message and historical reply point to different issues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1145854,don't think this is Ghostface Killah lads .... jaysus,Thanks. We'll get this reported. Great detective work! /MT,CONTENT_AVAILABILITY_METADATA,Medium,Customer evidence matched content availability metadata cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-980829,I am a student of life. Does that count?,"2: university, you should be able to sign up for the student discount via More info at /CH",SUBSCRIPTION_PLAN,Medium,Customer evidence matched subscription plan cues. Historical Spotify reply provides corroborating context. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-80934,Hey ! I've been having some issues accessing any news?,"Hey! Don’t worry, we can help. What’s happening exactly? A screenshot of any error messages that you're getting will also help. We'll see what we can suggest /PK",APP_TECHNICAL_COMPATIBILITY,Low,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True,Low,deterministic_heuristic_customer_and_reply
spotify-1658085,I am still having problems with my premium,Hey! We've just sent a DM your way. Let's carry on chatting there /NQ,SUBSCRIPTION_PLAN,Medium,Customer evidence matched subscription plan cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-863703,so is this on Spotify or not? Shows up online but not in the app....,"Hi Jacob. Don't worry, we'll look into it. First up, can you tell us what country is your account set to? /JU",OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-79400,"Not me, but my bestie. She's trying to make acc on spotify because they said that something went wrong",Could you send us a DM with your friend's email address? We'll take a look backstage /MA,APP_TECHNICAL_COMPATIBILITY,Medium,Customer evidence matched app technical compatibility cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2251356,"i have some music files i can access on my computer but i can't listen to them on my phone, it doesn't show up :(","Hey Jessica! Just to check, did you try following the exact steps at Let us know how it goes /JP",APP_TECHNICAL_COMPATIBILITY,Low,Customer evidence matched app technical compatibility cues. Human review is required because the evidence is not sufficiently decisive.,True,Low,deterministic_heuristic_customer_and_reply
spotify-490757,anybody else having an issue getting to connect to a at all? Won't play through the Spotify app or Sonos controller?!,"Hey Joe! Thanks for letting us know. Everything should be back up and running again soon. For anything else, we're just a tweet away /JP",PLAYBACK_AUDIO,Medium,Customer evidence matched playback audio cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2201052,10.3.3 and it says free even though I have paid premium,Can you DM us your account's email address or username? We'll take a look backstage /NQ,SUBSCRIPTION_PLAN,Medium,Customer evidence matched subscription plan cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-286430,Not the late great Ronnie James Dio me thinks. spotify:album:5mBgXOL9Ei06v84sArsA8N,Hey there. Thanks for sending this to us. We'll get this reported. Great detective work! /LM,CONTENT_AVAILABILITY_METADATA,Medium,Customer evidence matched content availability metadata cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2039555,"Got premium, and it reactivated my account which has a security check that I can't get past. Y'all better fix this.",Hey Alice! Could you DM us the email address linked to your Spotify account? We'll check it out backstage /BH,SUBSCRIPTION_PLAN,Medium,Customer evidence matched subscription plan cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1664969,let me fuckin listen to my music dammit,Hi there! Can you let us know what exactly is happening here? We'll see what we can suggest /NY,PLAYBACK_AUDIO,Medium,Customer evidence matched playback audio cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1190770,"reply to my DM please, thank youu",We've just sent a DM your way. Let's carry on chatting there /CG,OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-2701631,UM. WHERE THE FUCK IS ME GUSTAS TU,Hi there! Can you DM us your account's email address? We'll take a look under the hood /DN,CONTENT_AVAILABILITY_METADATA,Medium,Customer evidence matched content availability metadata cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
